Source,Target,Type,Id,Label,Weight
agency,ethical,Undirected,0,,1
agency,responsibility,Undirected,1,,1
agency,risk,Undirected,2,,1
agency,alignment,Undirected,3,,1
agency,moral,Undirected,4,,1
agency,principled,Undirected,5,,1
ethical,expectancy,Undirected,6,,1
ethical,intelligence,Undirected,7,,3
ethical,public,Undirected,8,,4
ethical,responsibility,Undirected,9,,2
ethical,risk,Undirected,10,,1
ethical,social,Undirected,11,,2
ethical,transparency,Undirected,12,,2
ethical,bias,Undirected,13,,1
ethical,moral,Undirected,14,,1
ethical,principled,Undirected,15,,3
ethical,technical,Undirected,16,,1
ethical,auditable,Undirected,17,,1
responsibility,innovative,Undirected,18,,1
responsibility,public,Undirected,19,,1
responsibility,risk,Undirected,20,,1
responsibility,principled,Undirected,21,,1
risk,intelligence,Undirected,22,,2
risk,privacy,Undirected,23,,1
risk,public,Undirected,24,,1
risk,bias,Undirected,25,,1
risk,democratic,Undirected,26,,1
alignment,moral,Undirected,27,,1
alignment,principled,Undirected,28,,1
moral,principled,Undirected,29,,2
principled,public,Undirected,30,,1
autonomy,cognitive,Undirected,31,,1
autonomy,control,Undirected,32,,1
autonomy,decisive,Undirected,33,,1
cognitive,growth,Undirected,34,,1
cognitive,intelligence,Undirected,35,,1
decisive,explainability,Undirected,36,,1
decisive,public,Undirected,37,,2
decisive,explicit,Undirected,38,,1
awareness,intention,Undirected,39,,1
awareness,analytical,Undirected,40,,1
intention,analytical,Undirected,41,,1
analytical,intelligence,Undirected,42,,1
analytical,intuitive,Undirected,43,,2
capability,organizational,Undirected,44,,1
capability,performance,Undirected,45,,1
organizational,performance,Undirected,46,,1
organizational,sociotechnical,Undirected,47,,1
performance,operational,Undirected,48,,1
growth,intelligence,Undirected,49,,1
growth,productivity,Undirected,50,,1
intelligence,competency,Undirected,51,,1
intelligence,focused,Undirected,52,,1
intelligence,intuitive,Undirected,53,,1
intelligence,knowledge,Undirected,54,,2
intelligence,legal,Undirected,55,,2
intelligence,privacy,Undirected,56,,2
intelligence,public,Undirected,57,,1
intelligence,social,Undirected,58,,1
intelligence,augmentative,Undirected,59,,1
intelligence,liablility,Undirected,60,,1
intelligence,auditable,Undirected,61,,1
intelligence,autonomous,Undirected,62,,1
intelligence,impact,Undirected,63,,1
intelligence,democratic,Undirected,64,,1
intelligence,safety,Undirected,65,,1
competency,knowledge,Undirected,66,,1
discretion,public,Undirected,67,,3
discretion,bureaucratic,Undirected,68,,1
public,expectancy,Undirected,69,,1
public,explainability,Undirected,70,,1
public,potential,Undirected,71,,1
public,social,Undirected,72,,2
public,transparency,Undirected,73,,2
public,collaborative,Undirected,74,,1
public,functioning,Undirected,75,,1
public,bureaucratic,Undirected,76,,1
public,explicit,Undirected,77,,1
public,informative,Undirected,78,,1
public,smart,Undirected,79,,1
social,harm,Undirected,80,,1
social,human-in-the-loop,Undirected,81,,1
social,liablility,Undirected,82,,1
social,political,Undirected,83,,1
social,technical,Undirected,84,,1
social,dignity,Undirected,85,,1
social,smart,Undirected,86,,1
social,safety,Undirected,87,,1
transparency,trust,Undirected,88,,1
transparency,bias,Undirected,89,,1
transparency,consent,Undirected,90,,1
transparency,informative,Undirected,91,,1
transparency,protection,Undirected,92,,1
explainability,legal,Undirected,93,,1
explainability,sociotechnical,Undirected,94,,1
explainability,explicit,Undirected,95,,1
legal,judicial,Undirected,96,,1
privacy,impact,Undirected,97,,1
privacy,democratic,Undirected,98,,1
augmentative,autonomous,Undirected,99,,1
liablility,safety,Undirected,100,,1
harm,dignity,Undirected,101,,1
trust,accountable,Undirected,102,,1
trust,consent,Undirected,103,,1
trust,rational,Undirected,104,,1
trust,confidence,Undirected,105,,1
trust,protection,Undirected,106,,1
trust,affective,Undirected,107,,1
trust,normative,Undirected,108,,1
consent,protection,Undirected,109,,1
accountable,rational,Undirected,110,,1
accountable,confidence,Undirected,111,,1
accountable,affective,Undirected,112,,1
accountable,normative,Undirected,113,,1
rational,confidence,Undirected,114,,1
rational,affective,Undirected,115,,1
rational,normative,Undirected,116,,1
confidence,affective,Undirected,117,,1
confidence,normative,Undirected,118,,1
affective,normative,Undirected,119,,1
